iso,name,show
Traianopolis(Phrygia),Traianopolis (Phrygia),1
Tralles,Tralles,1
Tralles(Lydia),Tralles (Lydia),1
Trapezus(Pontus),Trapezus (Pontus),1
Treveri,Treveri,1
Treves,Treves,1
Trier,Trier,1
Trier?,Trier?,1
Trinovantes,Trinovantes,1
Tripolis,Tripolis,1
Tripolis(Phrygia),Tripolis (Phrygia),1
Tripolis?,Tripolis?,1
Troezen,Troezen,1
Troezene,Troezene,1
Troizen,Troizen,1
Turiaso,Turiaso,1
Turiaso(Zaragoza),Turiaso (Zaragoza),1
Tyana,Tyana,1
Tyre,Tyre,1
Tyre?,Tyre?,1
Ulia,Ulia,1
Umbria,Umbria,1
uncertain,uncertain,1
uncertain(Epirus),uncertain (Epirus),1
uncertain(Thessaly),uncertain (Thessaly),1
uncertain?,uncertain?,1
Velia,Velia,1
Viminacium,Viminacium,1
Zacynthus,Zacynthus,1
Zakynthos,Zakynthos,1
Zela(Pontus),Zela (Pontus),1
Zephyrium,Zephyrium,1
Zeugma,Zeugma,1
Zeugma(Commagene),Zeugma (Commagene),1
Zitha(Tripolitania),Zitha (Tripolitania),1
AinSinu,Ain Sinu,1
Andriake(Myra),Andriake (Myra),1
Antioch/Seleucia,Antioch/Seleucia,1
Arsameia,Arsameia,1
Bath,Bath,1
Bethsaida,Bethsaida,1
Cankirikapi,Cankirikapi,1
Conimbriga,Conimbriga,1
DuraEuropos,Dura Europos,1
ElaiussaSebaste,Elaiussa Sebaste,1
En-Gedi,En-Gedi,1
Gindaros,Gindaros,1
Haltonchesters,Haltonchesters,1
Hama,Hama,1
Horvat'Eleq,Horvat 'Eleq,1
Idanha-a-Velha,Idanha-a-Velha,1
JebelKhallid,Jebel Khallid,1
Karanis,Karanis,1
Kourion,Kourion,1
Masada,Masada,1
Minturnae,Minturnae,1
Nessana,Nessana,1
Niksar,Niksar,1
Nimrud,Nimrud,1
Ordona,Ordona,1
OummEl'Marra,Oumm El'Marra,1
Perrhe,Perrhe,1
QiryatSefer,Qiryat Sefer,1
Raphanea,Raphanea,1
RasShamra,Ras Shamra,1
Saqqara,Saqqara,1
Si(Hauran),Si (Hauran),1
Silchester,Silchester,1
TallSheHamad/Magdalu,Tall She Hamad/Magdalu,1
TelAnafa,Tel Anafa,1
TelBeth-Shean,Tel Beth-Shean,1
TelJezreel,Tel Jezreel,1
TellabouDanne,Tell abou Danne,1
TellBarri,Tell Barri,1
TellelHajj,Tell el Hajj,1
TellRifa'at,Tell Rifa'at,1
Tille,Tille,1
Troy,Troy,1
YüceörenTepesi,Yüceören Tepesi,1
