period,Find.Territory,Source.Territory,Find.Site,Source.Site,sites.counts
Hellenistic,Anatolia,Anatolia,Side,Aspendos (Pamphylia),3
Hellenistic,Anatolia,Anatolia,Side,Calchedon (Bithynia),1
Hellenistic,Anatolia,Anatolia,Side,Colophon,1
Hellenistic,Anatolia,Anatolia,Side,Lampsacus,3
Hellenistic,Anatolia,Anatolia,Side,Milet (Ionia),1
Hellenistic,Anatolia,Anatolia,Side,Perge (Pamphylia),2
Hellenistic,Anatolia,Anatolia,Side,Pontus,1
Hellenistic,Anatolia,Anatolia,Side,Rhodes (Caria),2
Hellenistic,Anatolia,Anatolia,Side,Selge (Pisidia),1
Hellenistic,Anatolia,Anatolia,Side,Side,57
Hellenistic,Anatolia,Anatolia,Side,Termessos (Pisidia),1
Hellenistic,Anatolia,Anatolia,Troy,Abydus,4
Hellenistic,Anatolia,Anatolia,Troy,Achaeum,1
Hellenistic,Anatolia,Anatolia,Troy,Alexandria Troas,17
Hellenistic,Anatolia,Anatolia,Troy,Antandrus,3
Hellenistic,Anatolia,Anatolia,Troy,Birytus,4
Hellenistic,Anatolia,Anatolia,Troy,Clazomenae (Ionia),1
Hellenistic,Anatolia,Anatolia,Troy,Cyzicus,1
Hellenistic,Anatolia,Anatolia,Troy,Dardanus,8
Hellenistic,Anatolia,Anatolia,Troy,Eresus (Lesbos),1
Hellenistic,Anatolia,Anatolia,Troy,Gargara,2
Hellenistic,Anatolia,Anatolia,Troy,Gergis,8
Hellenistic,Anatolia,Anatolia,Troy,Ilium,85
Hellenistic,Anatolia,Anatolia,Troy,Lampsacus,5
Hellenistic,Anatolia,Anatolia,Troy,Methymna (Lesbos),2
Hellenistic,Anatolia,Anatolia,Troy,Mytilene (Lesbos),1
Hellenistic,Anatolia,Anatolia,Troy,Parium,1
Hellenistic,Anatolia,Anatolia,Troy,Rhodes,2
Hellenistic,Anatolia,Anatolia,Troy,Scamandria,1
Hellenistic,Anatolia,Anatolia,Troy,Scepsis,3
Hellenistic,Anatolia,Anatolia,Troy,Sigeum,11
Hellenistic,Anatolia,Anatolia,Troy,Smyrna (Ionia),1
Hellenistic,Anatolia,Balkans,Aphrodisias,uncertain,1
Hellenistic,Anatolia,Balkans,Hierapolis,Athens,1
Hellenistic,Anatolia,Balkans,Hierapolis,uncertain,1
Hellenistic,Anatolia,Balkans,Pergamon,Maronea,1
Hellenistic,Anatolia,Balkans,Pergamon,Myrina (Lemnos),6
Hellenistic,Anatolia,Balkans,Sardis,uncertain,77
Hellenistic,Anatolia,Balkans,Troy,Aenus,1
Hellenistic,Anatolia,Balkans,Troy,Amphipolis,3
Hellenistic,Anatolia,Balkans,Troy,Dyrrhacium,1
Hellenistic,Anatolia,Balkans,Troy,Hephaestia (Lemnos),1
Hellenistic,Anatolia,Balkans,Troy,Maronea,3
Hellenistic,Anatolia,Balkans,Troy,SamoEastern Europe,1
Hellenistic,Anatolia,Balkans,Troy,Thasos,1
Hellenistic,Anatolia,Balkans,Troy,Thessalonica,1
Hellenistic,Anatolia,Cilicia,Side,Tarsus,1
Hellenistic,Anatolia,East,Troy,Seleucia Tigris,1
Hellenistic,Anatolia,Egypt,Aphrodisias,Alexandria,1
Hellenistic,Anatolia,Egypt,Pergamon,Alexandria,1
Hellenistic,Anatolia,Egypt,Sardis,uncertain,1
Hellenistic,Anatolia,Egypt,Side,Egypt,5
Hellenistic,Anatolia,Italy/Sicily,Troy,Rome,1
Hellenistic,Anatolia,Syria,Aphrodisias,Tyre,1
Hellenistic,Anatolia,Syria,Cankirikapi,Antioch,2
Hellenistic,Anatolia,Syria,Ephesus,Antioch,1
Hellenistic,Anatolia,Syria,Hierapolis,uncertain,1
Hellenistic,Anatolia,Syria,Pergamon,Antioch,2
Hellenistic,Anatolia,Syria,Sardis,Antioch,6
Hellenistic,Anatolia,Syria,Sardis,Antioch?,14
Hellenistic,Anatolia,Syria,Sardis,Apamea,3
Hellenistic,Anatolia,Syria,Sardis,Aradus,1
Hellenistic,Anatolia,Syria,Troy,Antioch,1
Hellenistic,Balkans,Africa,Athens,Cyrenaica,5
Hellenistic,Balkans,Africa,Athens,Cyrene (Cyrenaica),2
Hellenistic,Balkans,Africa,Corinth,Carthage,1
Hellenistic,Balkans,Anatolia,Athens,Atarneus (mysia),1
Hellenistic,Balkans,Anatolia,Athens,Autokane (Aiolis),1
Hellenistic,Balkans,Anatolia,Athens,Bithynia,2
Hellenistic,Balkans,Anatolia,Athens,Byzantion,2
Hellenistic,Balkans,Anatolia,Athens,Caria?,1
Hellenistic,Balkans,Anatolia,Athens,Chios,15
Hellenistic,Balkans,Anatolia,Athens,Ephesus,2
Hellenistic,Balkans,Anatolia,Athens,Ephesus (Ionia),2
Hellenistic,Balkans,Anatolia,Athens,Erythrai (Ionia),4
Hellenistic,Balkans,Anatolia,Athens,Klazomenai (Ionia),3
Hellenistic,Balkans,Anatolia,Athens,Knidos (Karia),4
Hellenistic,Balkans,Anatolia,Athens,Kos,4
Hellenistic,Balkans,Anatolia,Athens,Kyme (Aeolis),4
Hellenistic,Balkans,Anatolia,Athens,Kyzikos (Mysia),1
Hellenistic,Balkans,Anatolia,Athens,Lampsakos,1
Hellenistic,Balkans,Anatolia,Athens,Laodikeia (Phrygia),1
Hellenistic,Balkans,Anatolia,Athens,Magnesia on the Maiandros,3
Hellenistic,Balkans,Anatolia,Athens,Methymna (Lesbos),1
Hellenistic,Balkans,Anatolia,Athens,Miletos,4
Hellenistic,Balkans,Anatolia,Athens,Mytilene (Lesbos),2
Hellenistic,Balkans,Anatolia,Athens,Neandria (Troas),2
Hellenistic,Balkans,Anatolia,Athens,Pergamon,6
Hellenistic,Balkans,Anatolia,Athens,Perge (Pamphylia),1
Hellenistic,Balkans,Anatolia,Athens,Phokaia,1
Hellenistic,Balkans,Anatolia,Athens,Pitane,1
Hellenistic,Balkans,Anatolia,Athens,Rhodes,13
Hellenistic,Balkans,Anatolia,Athens,Sardis,6
Hellenistic,Balkans,Anatolia,Athens,Side (Pamphylia),4
Hellenistic,Balkans,Anatolia,Athens,Skepsis (Troas),1
Hellenistic,Balkans,Anatolia,Athens,Smyrna,4
Hellenistic,Balkans,Anatolia,Athens,Tenedos (Troas),1
Hellenistic,Balkans,Anatolia,Athens,uncertain,1
Hellenistic,Balkans,Anatolia,Corinth,Chios,2
Hellenistic,Balkans,Anatolia,Corinth,Elaea (Aeolis),1
Hellenistic,Balkans,Anatolia,Corinth,Erythrae,1
Hellenistic,Balkans,Anatolia,Corinth,Rhodes,1
Hellenistic,Balkans,Balkans,Athens,Abdera,1
Hellenistic,Balkans,Balkans,Athens,Achaea,9
Hellenistic,Balkans,Balkans,Athens,Aetolia,20
Hellenistic,Balkans,Balkans,Athens,Aigina,17
Hellenistic,Balkans,Balkans,Athens,Ainianes (Thessaly),2
